year,destination_office,origin,indicator,Total Filings
2011,Mexico,World,PA3,89992
2011,Monaco,World,PA3,51007
2011,Montenegro,World,PA3,634
2011,Netherlands (Kingdom of the),World,PA3,138974
2011,New Zealand,World,PA3,35700
2011,Nicaragua,World,PA3,219
2011,Norway,World,PA3,16060
2011,Patent Office of the Cooperation Council for the Arab States of the Gulf,World,PA3,2006
2011,Peru,World,PA3,2489
2011,Philippines,World,PA3,10933
2011,Poland,World,PA3,35612
2011,Portugal,World,PA3,38084
2011,Republic of Korea,World,PA3,678005
2011,Republic of Moldova,World,PA3,799
2011,Romania,World,PA3,14393
2011,Russian Federation,World,PA3,168558
2011,Saudi Arabia,World,PA3,1933
2011,Serbia,World,PA3,1439
2011,Seychelles,World,PA3,12
2011,Singapore,World,PA3,44322
2011,Slovakia,World,PA3,12270
2011,Spain,World,PA3,168659
2011,Sweden,World,PA3,96091
2011,Switzerland,World,PA3,143253
2011,Tajikistan,World,PA3,253
2011,Thailand,World,PA3,10578
2011,Türkiye,World,PA3,30001
2011,Ukraine,World,PA3,24771
2011,United Arab Emirates,World,PA3,200
2011,United Kingdom,World,PA3,428014
2011,United States of America,World,PA3,2113628
2011,Uruguay,World,PA3,863
2011,Uzbekistan,World,PA3,679
2011,Viet Nam,World,PA3,9990
2011,Zambia,World,PA3,4045
2011,Zimbabwe,World,PA3,328
2012,African Intellectual Property Organization,World,PA3,3120
2012,Algeria,World,PA3,6308
2012,Armenia,World,PA3,266
2012,Australia,World,PA3,112176
2012,Austria,World,PA3,111028
2012,Azerbaijan,World,PA3,289
2012,Bahrain,World,PA3,132
2012,Belgium,World,PA3,90463
2012,Bosnia and Herzegovina,World,PA3,734
2012,Brazil,World,PA3,39592
2012,Bulgaria,World,PA3,8486
2012,Canada,World,PA3,144363
2012,Chile,World,PA3,8981
2012,China,World,PA3,875385
2012,"China, Hong Kong SAR",World,PA3,36158
2012,"China, Macao SAR",World,PA3,1107
2012,Colombia,World,PA3,4172
2012,Costa Rica,World,PA3,309
2012,Croatia,World,PA3,3379
2012,Cuba,World,PA3,1417
2012,Cyprus,World,PA3,246
2012,Czech Republic,World,PA3,28864
2012,Denmark,World,PA3,47085
2012,Dominican Republic,World,PA3,201
2012,Egypt,World,PA3,3377
2012,Estonia,World,PA3,6771
2012,Finland,World,PA3,46854
2012,France,World,PA3,490941
2012,Georgia,World,PA3,1501
2012,Germany,World,PA3,549521
2012,Greece,World,PA3,29198
2012,Guatemala,World,PA3,681
2012,Hungary,World,PA3,16699
2012,Iceland,World,PA3,3327
2012,India,World,PA3,42991
2012,Ireland,World,PA3,96583
2012,Italy,World,PA3,246688
2012,Japan,World,PA3,1694435
2012,Jordan,World,PA3,346
2012,Kyrgyzstan,World,PA3,341
2012,Latvia,World,PA3,6833
2012,Lithuania,World,PA3,6675
2012,Luxembourg,World,PA3,45955
2012,Madagascar,World,PA3,439
2012,Malaysia,World,PA3,21447
2012,Malta,World,PA3,615
2012,Mexico,World,PA3,96962
2012,Monaco,World,PA3,42838
2012,Montenegro,World,PA3,858
2012,Nepal,World,PA3,72
2012,Netherlands (Kingdom of the),World,PA3,137411
2012,New Zealand,World,PA3,27222
2012,Nicaragua,World,PA3,260
2012,Norway,World,PA3,17626
2012,Panama,World,PA3,357
2012,Patent Office of the Cooperation Council for the Arab States of the Gulf,World,PA3,1756
2012,Peru,World,PA3,2616
2012,Philippines,World,PA3,12276
2012,Poland,World,PA3,41242
2012,Portugal,World,PA3,37612
2012,Republic of Korea,World,PA3,738312
2012,Republic of Moldova,World,PA3,635
2012,Romania,World,PA3,15284
2012,Russian Federation,World,PA3,181515
2012,Rwanda,World,PA3,119
2012,Samoa,World,PA3,99
2012,Serbia,World,PA3,2303
2012,Singapore,World,PA3,45209
2012,Slovakia,World,PA3,13394
2012,Spain,World,PA3,163325
2012,Sudan,World,PA3,27
2012,Sweden,World,PA3,96252
2012,Switzerland,World,PA3,148020
2012,Tajikistan,World,PA3,254
2012,Thailand,World,PA3,11065
2012,Türkiye,World,PA3,36577
2012,Ukraine,World,PA3,25275
2012,United Arab Emirates,World,PA3,227
2012,United Kingdom,World,PA3,443670
2012,United States of America,World,PA3,2239231
2012,Uzbekistan,World,PA3,1016
2012,Viet Nam,World,PA3,11524
2012,Zambia,World,PA3,4384
2012,Zimbabwe,World,PA3,352
2013,African Intellectual Property Organization,World,PA3,2066
2013,African Regional Intellectual Property Organization,World,PA3,1157
2013,Albania,World,PA3,3114
2013,Algeria,World,PA3,4666
2013,Armenia,World,PA3,263
2013,Australia,World,PA3,122811
2013,Austria,World,PA3,104260
2013,Azerbaijan,World,PA3,248
2013,Bahamas,World,PA3,1039
2013,Bahrain,World,PA3,120
2013,Bangladesh,World,PA3,1031
2013,Belarus,World,PA3,4478
